x,y,z
750,850,0
750,750,0
700,850,0
700,750,0
650,850,0
650,750,0
600,850,0
600,750,0
550,850,0
550,750,0
500,850,0
500,750,0
450,850,0
450,750,0
400,850,0
400,750,0
350,850,0
350,750,0
300,850,0
300,750,0
250,850,0
250,750,0
200,850,0
200,750,0
150,850,0
150,750,0
100,850,0
100,750,0
-750,850,0
-750,750,0
-700,850,0
-700,750,0
-650,850,0
-650,750,0
-600,850,0
-600,750,0
-550,850,0
-550,750,0
-500,850,0
-500,750,0
-450,850,0
-450,750,0
-400,850,0
-400,750,0
-350,850,0
-350,750,0
-300,850,0
-300,750,0
-250,850,0
-250,750,0
-200,850,0
-200,750,0
-150,850,0
-150,750,0
-100,850,0
-100,750,0
200,100,75
200,0,75
150,100,75
150,0,75
100,100,75
100,0,75
-200,100,75
-200,0,75
-150,100,75
-150,0,75
-100,100,75
-100,0,75
0,100,300
0,0,300
0,100,250
0,0,250
0,100,200
0,0,200
